epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,10939.9,0.20121,0.14935,0.80282,0.99879,0.99787,0.99494,0.98455,0.1292,0.09841,0.7618,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11064,0.19969,0.14962,0.80245,0.9984,0.99828,0.99489,0.98472,0.12846,0.09805,0.76175,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11277.2,0.19971,0.14847,0.80373,0.99853,0.9979,0.99481,0.98459,0.1276,0.09739,0.76198,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11409.6,0.19817,0.14775,0.80271,0.99858,0.99817,0.9949,0.98474,0.12699,0.09634,0.7615,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11617.9,0.19652,0.1469,0.80279,0.99844,0.99814,0.9949,0.98456,0.1269,0.09616,0.76144,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11832.3,0.19546,0.14542,0.80215,0.99818,0.99821,0.99477,0.98459,0.12631,0.09617,0.76146,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12074.5,0.19376,0.14406,0.80209,0.99822,0.99832,0.99494,0.98499,0.12616,0.09541,0.76192,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12292.9,0.1943,0.14358,0.80114,0.99785,0.99841,0.99495,0.98519,0.12614,0.09506,0.76182,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12517.7,0.19394,0.14363,0.80065,0.99815,0.99817,0.99487,0.98493,0.12585,0.095,0.76136,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12674.8,0.1929,0.14326,0.80162,0.99808,0.99818,0.99493,0.98498,0.12556,0.09458,0.76134,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,12844.4,0.19196,0.14248,0.80197,0.99802,0.99822,0.99493,0.98501,0.12554,0.09453,0.76137,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13066.4,0.18898,0.13993,0.79988,0.99823,0.99789,0.99494,0.98512,0.12511,0.09467,0.76112,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13315.9,0.18957,0.14008,0.80125,0.99828,0.99804,0.99494,0.98543,0.12475,0.09388,0.76086,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13572.9,0.18951,0.13999,0.80068,0.99803,0.99848,0.99496,0.98516,0.12455,0.0938,0.76062,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,13830.7,0.18744,0.13776,0.80004,0.99884,0.99761,0.99497,0.98525,0.12435,0.09298,0.76066,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,14089.2,0.18658,0.13698,0.79947,0.99841,0.99805,0.99497,0.98542,0.12396,0.09285,0.76018,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,14336.8,0.18645,0.13777,0.80049,0.99865,0.99812,0.99497,0.98553,0.12369,0.09261,0.76017,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,14582.4,0.18629,0.13712,0.80053,0.99857,0.99809,0.99497,0.98562,0.12323,0.09237,0.7602,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,14799.4,0.18435,0.13565,0.80021,0.99858,0.9981,0.99496,0.9854,0.12307,0.09229,0.76019,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,14975.6,0.18303,0.13452,0.80044,0.99873,0.99796,0.99497,0.98536,0.12294,0.09194,0.76008,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,15117.7,0.18114,0.13356,0.80022,0.9988,0.99787,0.99497,0.98543,0.12263,0.09153,0.76007,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,15319.9,0.18032,0.13177,0.79805,0.99871,0.99788,0.99496,0.98549,0.12234,0.09118,0.75996,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,15550.9,0.17925,0.13125,0.79873,0.99866,0.99795,0.99496,0.98535,0.12196,0.09084,0.75997,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,15774.8,0.17848,0.13007,0.79894,0.99866,0.99795,0.99496,0.98553,0.1217,0.09034,0.76004,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,15989.8,0.17759,0.12933,0.79849,0.99856,0.99806,0.99496,0.98558,0.12162,0.09035,0.76007,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,16216.9,0.17653,0.12784,0.79825,0.99858,0.99807,0.99496,0.98559,0.12143,0.09014,0.76007,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,16442.6,0.17582,0.12787,0.7991,0.99859,0.99808,0.99496,0.98569,0.12126,0.08981,0.75999,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,16655.3,0.17489,0.12623,0.79748,0.99861,0.99825,0.99496,0.98569,0.12107,0.08969,0.75988,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,16877.1,0.17336,0.12554,0.79796,0.99851,0.99832,0.99496,0.98564,0.12093,0.08979,0.75983,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,17138.6,0.1535,0.10911,0.76988,0.99856,0.99833,0.99496,0.98571,0.12091,0.08966,0.75998,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,17349.3,0.15275,0.10899,0.76939,0.99858,0.99832,0.99496,0.9856,0.12077,0.08963,0.76013,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,17594.3,0.15082,0.10735,0.76973,0.99854,0.99834,0.99497,0.98573,0.1205,0.08969,0.76028,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,17866.2,0.14978,0.10619,0.76971,0.99855,0.99834,0.99497,0.98578,0.12042,0.08933,0.76017,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,18107.4,0.14843,0.10491,0.77066,0.99856,0.99833,0.99496,0.98581,0.12026,0.08914,0.76011,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,18326.3,0.14707,0.10332,0.76809,0.99836,0.99818,0.99496,0.98591,0.12012,0.08923,0.76009,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,18568,0.145,0.10197,0.768,0.99831,0.99816,0.99496,0.98591,0.11992,0.08931,0.75996,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18804.5,0.14445,0.1012,0.76846,0.99834,0.99818,0.99496,0.98596,0.11982,0.08916,0.75992,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19049.7,0.14398,0.10065,0.76864,0.99833,0.99819,0.99496,0.98594,0.11972,0.08899,0.75991,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,19281.9,0.14226,0.09886,0.76822,0.99833,0.99825,0.99496,0.98596,0.11967,0.08887,0.75994,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
